date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:25	58565/58565	---M-Z	200	added ('OK')	text/html	etag:%220x8D489E01D1633FD%22	https://mm-gold.azureedge.net/evolution/index.html	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/index.html	(from )
11:12:26	215/215	---M--	404	error ('Not%20Found')	application/xml	date:Sun,%2001%20Dec%202019%2005:42:25%20GMT	https://mm-gold.azureedge.net/robots.txt		(from )
11:12:26	68160/68160	---M--	200	added ('OK')	image/jpeg	etag:%220x8D481D72785F447%22	https://mm-gold.azureedge.net/evolution/banner/mm_evo_banner900.jpg	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/evolution/banner/mm_evo_banner900.jpg	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:26	906/906	---M--	200	added ('OK')	image/gif	etag:%220x8D47F9D3721B0C5%22	https://mm-gold.azureedge.net/1971/image_article/lcurv.gif	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/1971/image_article/lcurv.gif	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:27	43/43	---M--	200	added ('OK')	image/gif	etag:%220x8D47F9D37235E82%22	https://mm-gold.azureedge.net/1971/image_article/spacer.gif	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/1971/image_article/spacer.gif	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:27	900/900	---M--	200	added ('OK')	image/gif	etag:%220x8D47F9D371B4816%22	https://mm-gold.azureedge.net/1971/image_article/rcurv.gif	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/1971/image_article/rcurv.gif	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:27	130/130	---M--	200	added ('OK')	image/gif	etag:%220x8D47F9D371FDBFA%22	https://mm-gold.azureedge.net/1971/image_article/blcurv.gif	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/1971/image_article/blcurv.gif	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:27	863/863	---M--	200	added ('OK')	image/gif	etag:%220x8D47F9D371DB907%22	https://mm-gold.azureedge.net/1971/image_article/brcurv.gif	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/1971/image_article/brcurv.gif	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:30	52055/52055	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Dec%202019%2005:42:29%20GMT	https://blog.mukto-mona.com/wp-content/uploads/2009/10/sp_image-572109531-1256357059.gif	C:/My%20Web%20Sites/Evolution%20Archive/blog.mukto-mona.com/wp-content/uploads/2009/10/sp_image-572109531-1256357059.7.delayed	(from https://mm-gold.azureedge.net/evolution/index.html)
11:12:30	3871/3871	---M--	200	added ('OK')	image/jpeg	etag:%220x8D47FD646896A7B%22	https://mm-gold.azureedge.net/Special_Event_/Darwin_day/2009/images/book_cver3.jpg	C:/My%20Web%20Sites/Evolution%20Archive/mm-gold.azureedge.net/Special_Event_/Darwin_day/2009/images/book_cver3.jpg	(from https://mm-gold.azureedge.net/evolution/index.html)
